Geneid,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1 ,Control_Sample2 ,Control_Sample3
ENSMUSG00000026483,699,385,970,395,555,311
ENSMUSG00000082528,0,0,0,0,0,0
ENSMUSG00000082012,0,0,0,0,0,0
ENSMUSG00000099996,0,0,0,0,0,0
ENSMUSG00000101763,0,0,0,0,0,0
ENSMUSG00000100827,0,0,0,0,0,0
ENSMUSG00000100553,0,0,0,0,0,0
ENSMUSG00000098611,0,0,0,0,0,0
ENSMUSG00000100534,0,0,0,0,0,0
ENSMUSG00000102904,0,0,0,0,0,0
ENSMUSG00002076350,0,0,0,0,0,0
ENSMUSG00000019699,943,812,975,634,459,573
ENSMUSG00000104391,28,22,8,1,1,66
ENSMUSG00000102133,0,0,19,15,17,0
ENSMUSG00000102749,22,0,0,20,0,0
ENSMUSG00000103163,0,0,29,0,0,0
ENSMUSG00000103646,0,53,54,130,78,0
ENSMUSG00000102427,0,0,47,27,70,11
ENSMUSG00000103633,0,0,0,0,0,0
ENSMUSG00000097892,0,0,0,0,0,0
ENSMUSG00000063659,592,995,657,681,736,820
ENSMUSG00000102432,0,0,0,0,0,0
ENSMUSG00000103043,0,0,10,16,0,0
ENSMUSG00000102885,0,0,0,0,0,0
ENSMUSG00000026049,25,50,82,58,0,25
ENSMUSG00000103767,0,0,0,0,0,0
ENSMUSG00000043019,942,504,568,627,412,426
ENSMUSG00000101104,0,0,0,0,0,0
ENSMUSG00000015962,0,0,0,0,0,0
ENSMUSG00000032666,82,285,209,166,2,135
ENSMUSG00000084557,0,0,0,0,0,0
ENSMUSG00000100685,0,0,0,0,0,0
ENSMUSG00000102090,0,0,0,0,0,0
ENSMUSG00000103744,0,0,0,0,0,0
ENSMUSG00000015961,1177,635,1194,652,842,734
ENSMUSG00000089657,0,0,14,3,31,0
ENSMUSG00000102483,0,0,0,0,0,0
ENSMUSG00000014980,64,0,29,33,75,49
ENSMUSG00000026235,30,0,0,0,0,0
ENSMUSG00000099141,0,0,0,0,0,0
ENSMUSG00000032649,15,0,0,0,0,0
ENSMUSG00000101849,0,0,0,0,0,0
ENSMUSG00000101506,0,0,0,0,0,0
ENSMUSG00000065215,0,0,0,0,0,0
ENSMUSG00000102052,0,0,0,0,0,0
ENSMUSG00000026047,26,60,79,50,11,69
ENSMUSG00000080878,0,0,0,0,0,0
ENSMUSG00000091476,142,33,264,0,0,0
ENSMUSG00000104097,0,0,0,0,17,0
ENSMUSG00000119789,0,0,0,0,0,0
ENSMUSG00000102493,20,0,0,0,0,0
ENSMUSG00000004872,0,0,0,1,21,0
ENSMUSG00000118426,0,0,0,0,0,0
ENSMUSG00000041684,94,116,103,0,76,136
ENSMUSG00000032908,1,30,10,20,0,22
ENSMUSG00000099561,0,0,0,0,0,0
ENSMUSG00000102945,0,0,0,0,0,0
ENSMUSG00000026502,718,324,489,377,233,310
ENSMUSG00000103958,0,0,0,0,0,0
ENSMUSG00000104126,4,1,3,2,1,2
ENSMUSG00000026500,0,0,0,0,0,0
ENSMUSG00000026048,82,57,124,99,28,78
ENSMUSG00000046828,0,0,0,0,0,0
ENSMUSG00000089703,0,0,0,0,0,0
ENSMUSG00000100966,0,0,0,0,0,0
ENSMUSG00000100769,0,0,0,0,0,0
ENSMUSG00000101567,0,0,0,0,0,1
ENSMUSG00000026245,727,471,599,427,221,424
ENSMUSG00000101798,0,0,0,0,0,0
ENSMUSG00000104018,21,22,0,11,36,17
ENSMUSG00000090486,0,0,0,0,0,0
ENSMUSG00000026482,360,360,122,312,366,384
ENSMUSG00000086145,0,0,0,0,0,0
ENSMUSG00000080950,0,0,0,0,0,0
ENSMUSG00000099868,0,0,0,0,0,0
ENSMUSG00000055547,0,0,0,0,0,0
ENSMUSG00000012187,0,0,0,0,0,0
ENSMUSG00000008475,2828,2151,2707,1549,2082,2199
ENSMUSG00000099364,0,0,0,0,0,0
ENSMUSG00000100562,0,0,0,0,0,0
ENSMUSG00000056870,0,0,0,0,0,0
ENSMUSG00000102319,0,0,0,0,0,0
ENSMUSG00000089877,0,0,0,0,0,0
ENSMUSG00000101701,0,0,0,0,0,0
ENSMUSG00000103071,1,0,0,0,0,1
ENSMUSG00000100434,0,0,0,0,0,0
ENSMUSG00000100013,0,0,0,0,0,0
ENSMUSG00000101251,0,0,0,0,0,0
ENSMUSG00000101937,0,0,0,0,0,0
ENSMUSG00000039630,4029,2844,3461,2520,2760,3362
ENSMUSG00000104279,0,0,0,0,0,0
ENSMUSG00002075531,0,0,0,0,0,0
ENSMUSG00000064954,0,0,0,0,0,0
ENSMUSG00000026495,0,0,0,0,26,0
ENSMUSG00000032883,233,124,230,163,313,170
ENSMUSG00000026480,1429,1609,1850,1565,1593,1530
ENSMUSG00000026494,24,0,0,0,20,0
ENSMUSG00000064967,0,0,0,0,0,0
ENSMUSG00000102922,0,0,0,0,0,0
ENSMUSG00000025915,522,488,606,532,478,437
ENSMUSG00000089713,0,0,0,0,0,0
ENSMUSG00000079470,374,197,315,305,359,291
ENSMUSG00000099377,0,1,0,0,0,1
ENSMUSG00000099706,0,0,0,0,0,0
ENSMUSG00000047330,0,0,0,0,0,0
ENSMUSG00000101324,0,0,0,0,0,0
ENSMUSG00000072978,0,0,0,0,0,12
ENSMUSG00000046334,0,0,0,0,0,0
ENSMUSG00002075801,0,0,0,36,0,34
ENSMUSG00000050711,0,0,0,0,0,0
ENSMUSG00000099562,0,0,0,0,0,0
ENSMUSG00000077782,0,0,0,0,0,0
ENSMUSG00000055067,137,110,95,68,61,103
ENSMUSG00000054702,64,218,368,56,40,197
ENSMUSG00000096474,2,0,5,3,2,1
ENSMUSG00000102235,78,20,4,0,22,30
ENSMUSG00000026492,161,57,50,175,195,153
ENSMUSG00000082395,0,0,22,0,0,0
ENSMUSG00000038949,116,116,144,16,77,141
ENSMUSG00000026043,0,0,0,0,0,0
ENSMUSG00000046101,52,0,0,22,0,0
ENSMUSG00002074901,0,0,0,0,0,0
ENSMUSG00000093178,0,0,0,0,0,0
ENSMUSG00000099032,0,0,0,0,28,0
ENSMUSG00000104025,0,0,0,0,0,0
ENSMUSG00000038936,52,30,0,19,99,26
