"","Comparison","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","diffexpressed"
"ENSMUSG00000025779","S2_vs_S1",318.385037043373,1.91677759936116,0.557986020050193,3.43517136717644,0.000592179226152488,0.0405434706943103,"Ly96","UP"
"ENSMUSG00000102782","S2_vs_S1",47.7384645368513,-8.58989600946799,2.42585243768358,-3.54098043064416,0.00039864314421538,0.0317560632995724,NA,"DOWN"
"ENSMUSG00000026032","S2_vs_S1",91.0043080663415,-10.0331078090047,1.87064816160988,-5.36343926929062,8.16521126990192e-08,0.000204532066544818,"Ndufb3","DOWN"
"ENSMUSG00000016494","S2_vs_S1",49.458825498535,-8.82449942244696,2.37660454161146,-3.71307016709793,0.000204760087548852,0.0214395393848553,"Cd34","DOWN"
"ENSMUSG00000073616","S2_vs_S1",105.558736897515,9.80446251862622,1.84392982738278,5.31715598556284,1.05401706451341e-07,0.000204532066544818,"Cops9","UP"
"ENSMUSG00000026429","S2_vs_S1",120.492909003571,4.15933639384529,1.09321183197717,3.80469390486084,0.000141979653997171,0.0176305323287075,"Ube2t","UP"
"ENSMUSG00000037216","S2_vs_S1",43.0608735225147,-9.05110905471342,2.55980801344192,-3.53585464502992,0.000406458269584927,0.0318782953339226,"Lipt1","DOWN"
"ENSMUSG00000026078","S2_vs_S1",307.783647896518,-1.99097183666974,0.450444608332326,-4.42001480279868,9.86941405091993e-06,0.0033843751629444,"Pdcl3","DOWN"
"ENSMUSG00000118839","S2_vs_S1",611.646083702269,-1.2042938984872,0.351264370552436,-3.4284544617867,0.000607028363718007,0.0408729866624622,"Gm25360","DOWN"
"ENSMUSG00000033793","S2_vs_S1",1614.45666155807,-0.739407528376249,0.199041826442839,-3.71483492485231,0.000203336390190829,0.0214395393848553,"Atp6v1h","DOWN"
"ENSMUSG00000103945","S2_vs_S1",43.691001262594,-8.68959027998449,2.59266708190558,-3.35160281110899,0.00080345199747844,0.0489580363076949,NA,"DOWN"
"ENSMUSG00000103928","S2_vs_S1",99.7310455988556,5.03875045607167,1.35073134422983,3.73038685864265,0.000191185984465123,0.0208669785371107,NA,"UP"
"ENSMUSG00000073538","S2_vs_S1",46.9479049692158,-8.62365849672386,2.41768476914216,-3.56690773205462,0.000361218593975723,0.029830309673545,"Gm46246","DOWN"
"ENSMUSG00000025925","S2_vs_S1",293.489593114448,2.43042505429396,0.719879491478594,3.37615543026792,0.0007350638053773,0.0475016232597392,"Terf1","UP"
"ENSMUSG00000033021","S2_vs_S1",348.363871394374,1.63084929501479,0.446078016172358,3.65597325106615,0.000256208071474202,0.0249625494868634,"Gmppa","UP"
"ENSMUSG00000014873","S2_vs_S1",149.738858207553,3.6457657429887,0.756083350820862,4.82190983180701,1.42190221797341e-06,0.00119529280687894,"Surf2","UP"
"ENSMUSG00000000876","S2_vs_S1",141.139068808283,-5.48877113782646,1.14113613840218,-4.80991789946453,1.50992301516367e-06,0.00119529280687894,"Pxmp4","DOWN"
"ENSMUSG00000008226","S2_vs_S1",57.5103764507886,-6.90368605036668,1.93606173954032,-3.56583982285907,0.000362692854075946,0.029830309673545,"Scrn3","DOWN"
"ENSMUSG00000027628","S2_vs_S1",292.18469801352,-2.38474671946925,0.602237356754371,-3.95981201219621,7.50087855586765e-05,0.0118757659735774,"Aar2","DOWN"
"ENSMUSG00000016921","S2_vs_S1",1634.7209864286,-0.731723537317462,0.208398249740507,-3.51117890015194,0.000446124057793069,0.0339387549772492,"Srsf6","DOWN"
"ENSMUSG00000027132","S2_vs_S1",539.999542741258,1.38502848636522,0.381589390026766,3.62963049435958,0.000283827218727279,0.026629300388146,"Katnbl1","UP"
"ENSMUSG00000027496","S2_vs_S1",285.950614636483,-3.5114237604954,0.58917574660008,-5.95989190111534,2.52404843954881e-09,3.19695975353252e-05,"Aurka","DOWN"
"ENSMUSG00000040321","S2_vs_S1",190.283870713068,2.68443605663295,0.636956867767663,4.2144707004119,2.50364650554152e-05,0.00609830512292093,"Zfp770","UP"
"ENSMUSG00000027305","S2_vs_S1",126.823042930911,-9.62533514024179,1.68629872803426,-5.70796560551413,1.14334516613843e-08,4.82720329143646e-05,"Ndufaf1","DOWN"
"ENSMUSG00000035168","S2_vs_S1",335.818543729803,1.76508466866091,0.476790626053903,3.70201210386499,0.000213896411364491,0.0218484834382471,"Tanc1","UP"
"ENSMUSG00000026970","S2_vs_S1",2570.76602911945,0.623130304265233,0.179498214379304,3.4715125519214,0.000517535136360468,0.0368264047030432,"Rbms1","UP"
"ENSMUSG00000027652","S2_vs_S1",2101.0994705688,-0.778228461895978,0.190127015606829,-4.09320295388903,4.25455015295778e-05,0.0086046447290717,"Ralgapb","DOWN"
"ENSMUSG00000027475","S2_vs_S1",833.681677236147,-1.11995882805544,0.291236184503184,-3.84553461296701,0.000120289881883196,0.0163827058487371,"Kif3b","DOWN"
"ENSMUSG00000039678","S2_vs_S1",789.365564816027,0.984424328789181,0.273718164521313,3.59648885747417,0.000322541392929432,0.0277912196111849,"Tbc1d13","UP"
"ENSMUSG00000084213","S2_vs_S1",67.0408742665753,8.25980654998371,2.06954142908462,3.99112887227249,6.57595325851452e-05,0.0109451118806192,NA,"UP"
"ENSMUSG00000057110","S2_vs_S1",1033.65108281191,-0.849307284944758,0.253417200264702,-3.35141925669461,0.000803984805937198,0.0489580363076949,"Cntrl","DOWN"
"ENSMUSG00000099470","S2_vs_S1",48.6759521109697,8.52389193374022,2.38821111020905,3.56915345435861,0.000358136613374084,0.029830309673545,NA,"UP"
"ENSMUSG00000027285","S2_vs_S1",261.429866467308,2.24180709254045,0.503068106150616,4.4562695689344,8.33981528976865e-06,0.00320097274121848,"Haus2","UP"
"ENSMUSG00000027263","S2_vs_S1",720.575057024474,-1.07993417456978,0.302248151695108,-3.57300505731184,0.000352907942670286,0.0296021986878267,"Tubgcp4","DOWN"
"ENSMUSG00000074656","S2_vs_S1",1027.69434956759,1.20933297862683,0.242933395020214,4.97804337903483,6.42302630162786e-07,0.00073958228305835,"Eif2s2","UP"
"ENSMUSG00002075987","S2_vs_S1",1019.46762776009,-1.07192067836038,0.313833586050772,-3.41557030861244,0.000636485957839956,0.0424301639052678,NA,"DOWN"
"ENSMUSG00000039545","S2_vs_S1",43.1771661927011,-9.43371519957328,2.78948615367737,-3.38188278408797,0.000719908559808006,0.0470018650439598,"Flicr","DOWN"
"ENSMUSG00000031273","S2_vs_S1",47.6014432378582,-9.34903342257205,2.68306268726943,-3.4844632840415,0.000493125113703733,0.0358961074147786,"Col4a6","DOWN"
"ENSMUSG00000106099","S2_vs_S1",322.333419010407,-2.3217697260528,0.503441258215497,-4.61179867196934,3.99199545185556e-06,0.00187268942197047,NA,"DOWN"
"ENSMUSG00000027714","S2_vs_S1",246.851440040741,-1.75668247528149,0.523384580949845,-3.3563894299168,0.000789672896820315,0.0489068661179254,"Exosc9","DOWN"
"ENSMUSG00000028085","S2_vs_S1",100.212378170765,-9.9252049549922,1.8238630408419,-5.44185869922047,5.2727493017026e-08,0.000166961606638413,"Gatb","DOWN"
"ENSMUSG00000074604","S2_vs_S1",78.222782829203,-9.38304820106178,2.00219887327019,-4.68637173176331,2.78090969548353e-06,0.00167526255807627,"Mgst2","DOWN"
"ENSMUSG00000004233","S2_vs_S1",130.13398252103,-6.53459575623426,1.14082481638281,-5.72795723093874,1.01647183439285e-08,4.82720329143646e-05,"Wars2","DOWN"
"ENSMUSG00000097365","S2_vs_S1",48.511503139234,-8.59402328042034,2.4041304502574,-3.57469091558663,0.000350641876414358,0.0296021986878267,"C030034L19Rik","DOWN"
"ENSMUSG00000106149","S2_vs_S1",279.930400037798,-1.88653217202846,0.521725071757449,-3.6159507644009,0.000299247254110206,0.0267012536086788,NA,"DOWN"
"ENSMUSG00000058135","S2_vs_S1",1438.34824737888,0.95534690316699,0.232259159859697,4.11327976792862,3.90077170885232e-05,0.00824606412463007,"Gstm1","UP"
"ENSMUSG00000000563","S2_vs_S1",728.425551603628,-1.02183142901774,0.287765506928824,-3.55091699461562,0.000383891468451967,0.0311690342270039,"Atp5pb","DOWN"
"ENSMUSG00000027942","S2_vs_S1",157.805458982233,-2.42994188300463,0.707916137512925,-3.43252788605947,0.000597982383227651,0.0407206713223733,"4933434E20Rik","DOWN"
"ENSMUSG00000105597","S2_vs_S1",61.0418262413883,-8.58220304992593,2.1518252612913,-3.988336415744,6.65382610775049e-05,0.0109451118806192,NA,"DOWN"
"ENSMUSG00000121347","S2_vs_S1",62.9409587494325,-9.19076731592905,2.25423364720431,-4.07711389071287,4.55981610923394e-05,0.00862009415515778,"Gm2011","DOWN"
"ENSMUSG00000089417","S2_vs_S1",3219.7385358828,0.920602092561564,0.196323081745796,4.68921985318865,2.74248611958895e-06,0.00167526255807627,"Gm22009","UP"
"ENSMUSG00000040455","S2_vs_S1",618.06552893727,-1.42958755214249,0.337218921463833,-4.23934560355273,2.24172311963978e-05,0.00579462551701172,"Usp45","DOWN"
"ENSMUSG00000006442","S2_vs_S1",118.791240964574,-6.34209613318134,1.43764003290662,-4.41146322307044,1.02674395556942e-05,0.00342229972137953,"Srm","DOWN"
"ENSMUSG00000082686","S2_vs_S1",68.0435574296678,8.55570471918151,2.00425759823803,4.26876501638459,1.96558200030924e-05,0.0052970343863653,"Gm12961","UP"
"ENSMUSG00000047281","S2_vs_S1",51.5976154711995,9.16988173832591,2.41924480918431,3.79039016783824,0.000150410831244651,0.0183183037360072,"Sfn","UP"
"ENSMUSG00000028599","S2_vs_S1",5280.04628308965,0.752713887483173,0.141903363469424,5.30441188341077,1.13036828186778e-07,0.000204532066544818,"Tnfrsf1b","UP"
"ENSMUSG00000040270","S2_vs_S1",58.9707460582619,7.61908796229087,2.06313221839144,3.6929712474905,0.00022164909172721,0.0222810110779114,"Bach2","UP"
"ENSMUSG00000050812","S2_vs_S1",3109.59217008147,-0.562267676155333,0.149649567325247,-3.75722887947484,0.000171805345951917,0.0200718552133944,"Ecpas","NO"
"ENSMUSG00000028337","S2_vs_S1",986.171236226882,0.963186859557473,0.263381010482012,3.65700950799282,0.000255174918788426,0.0249625494868634,"Coro2a","UP"
"ENSMUSG00000029075","S2_vs_S1",70.597439224748,9.11682011774043,2.04554054247152,4.45692467513992,8.31438012445118e-06,0.00320097274121848,"Tnfrsf4","UP"
"ENSMUSG00000038859","S2_vs_S1",196.13871795856,-2.44244972291579,0.624367848221503,-3.91187619585642,9.15818596098733e-05,0.0134880910909146,"Baiap2l1","DOWN"
